id,margin,n_labels,goal1_id,goal1_label,goal1_score,goal2_id,goal2_label,goal2_score
2925,0.018871,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.54597,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.5271
3020,0.009647,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.687328,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.677682
3141,0.028076,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.534643,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.506567
3220,0.015512,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.519069,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.503557
3360,0.00429,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.522537,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.518247
3540,0.029945,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.474897,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.444952
3541,0.027445,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.465818,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.438373
3542,0.0203,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.480388,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.460089
3543,0.023585,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.476198,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.452613
3544,0.012239,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.475866,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.463627
3545,0.022794,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.5022,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.479405
3546,0.005226,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.39185,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.386624
3547,0.036239,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.488392,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.452153
3701,0.006305,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.400607,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.394301
3702,0.014558,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.412184,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.397625
3705,0.005148,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.426828,G3_biodiversity_interactions,How different components of biodiversity interact,0.421679
3706,0.017358,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.433746,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.416388
3707,0.02427,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.440153,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.415883
3708,0.005349,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.43956,G3_biodiversity_interactions,How different components of biodiversity interact,0.434211
3709,0.017039,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.452009,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.43497
3901,0.066445,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.469486,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.403041
3921,0.074665,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.489283,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.414617
3923,0.027792,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.46219,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.434398
4000,0.01578,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.402454,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.386674
4001,0.027186,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.419801,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.392615
4002,0.010434,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.413762,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.403329
4140,0.066915,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.680391,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.613476
4141,0.010127,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.625793,G3_biodiversity_interactions,How different components of biodiversity interact,0.615666
4146,0.003217,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.531636,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.528419
4160,0.019497,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.471422,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.451925
4181,0.01865,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.549501,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.530852
4220,0.012072,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.406656,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.394584
4221,0.013069,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.434445,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.421375
4222,0.014684,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.426359,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.411675
4223,0.018472,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.467695,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.449224
4224,0.018822,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.465849,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.447027
4225,0.011057,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.452291,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.441234
4226,0.030873,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.48876,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.457887
4260,0.010386,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.572479,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.562092
4300,0.005287,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.537219,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.531933
4302,0.036657,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.639192,G3_biodiversity_interactions,How different components of biodiversity interact,0.602535
4341,0.00306,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.480226,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.477166
4360,0.027803,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.464227,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.436424
4361,0.041304,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.425931,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.384626
4420,0.043479,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.439452,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.395973
4442,0.039836,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.563724,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.523888
4444,0.000851,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.497473,G3_biodiversity_interactions,How different components of biodiversity interact,0.496622
4446,0.030994,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.484825,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.453831
4460,0.002141,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.527358,G3_biodiversity_interactions,How different components of biodiversity interact,0.525217
4520,0.051559,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.650136,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.598577
4521,0.058825,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.646693,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.587869
4620,0.034759,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.458749,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.42399
4621,0.000771,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.393774,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.393003
4622,0.008436,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.372023,G3_biodiversity_interactions,How different components of biodiversity interact,0.363587
4623,0.011413,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.428451,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.417039
4641,0.004201,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.411382,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.40718
4661,0.03836,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.401215,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.362855
4760,0.004489,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.527298,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.522809
4761,0.000518,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.521247,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.520729
4762,0.000377,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.523066,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.522689
4781,0.018424,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.532926,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.514502
4823,0.003802,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.538382,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.53458
4840,0.02557,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.543119,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.517549
4862,0.012786,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.394548,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.381763
4882,0.035786,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.581704,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.545919
4883,0.012803,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.625798,G3_biodiversity_interactions,How different components of biodiversity interact,0.612994
4963,0.027444,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.622696,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.595252
4964,0.028238,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.621852,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.593614
4981,0.028571,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.61415,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.585578
5000,0.000812,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.440216,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.439404
5021,0.001089,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.625491,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.624402
5060,0.003954,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.562192,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.558238
5063,0.033088,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.659656,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.626567
5081,0.001097,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.484435,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.483337
5120,0.002312,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.524815,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.522503
5160,0.045729,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.648738,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.603009
5201,0.00362,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.550724,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.547104
5222,0.003833,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.539266,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.535433
5241,0.079831,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.508182,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.428351
5280,0.008879,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.435495,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.426615
5281,0.002991,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.458411,G3_biodiversity_interactions,How different components of biodiversity interact,0.455421
5303,0.006201,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.455363,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.449161
5304,0.004698,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.459702,G3_biodiversity_interactions,How different components of biodiversity interact,0.455004
5340,0.049665,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.544358,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.494693
5400,0.004345,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.498062,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.493717
5401,0.002408,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.520727,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.51832
5421,0.026611,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.394938,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.368327
5460,0.029214,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.423628,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.394415
5461,0.030061,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.422019,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.391958
5480,0.00538,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.421226,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.415846
5500,0.010614,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.442684,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.43207
5502,0.006136,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.475206,G3_biodiversity_interactions,How different components of biodiversity interact,0.46907
5503,0.019285,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.409656,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.390372
5520,0.007602,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.420082,G3_biodiversity_interactions,How different components of biodiversity interact,0.41248
5522,0.034242,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.532373,G3_biodiversity_interactions,How different components of biodiversity interact,0.498131
5540,0.00767,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.389916,G3_biodiversity_interactions,How different components of biodiversity interact,0.382246
5541,0.03584,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.404973,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.369133
5542,2.2e-05,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.405628,G3_biodiversity_interactions,How different components of biodiversity interact,0.405606
5543,0.004873,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.402006,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.397133
5544,0.014685,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.410612,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.395926
5545,0.004348,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.431628,G3_biodiversity_interactions,How different components of biodiversity interact,0.42728
5560,0.011759,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.414859,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.4031
5600,0.005538,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.482664,G3_biodiversity_interactions,How different components of biodiversity interact,0.477126
5620,0.014986,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.581905,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.566919
5622,0.015621,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.58481,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.569189
5641,0.035316,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.572737,G3_biodiversity_interactions,How different components of biodiversity interact,0.537421
5642,0.035931,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.584407,G3_biodiversity_interactions,How different components of biodiversity interact,0.548476
5660,0.008201,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.431552,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.423351
5680,0.002908,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.386052,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.383144
5682,0.007965,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.405036,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.397071
5684,0.026803,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.457528,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.430725
5702,0.002328,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.474652,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.472324
5740,0.006226,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.37537,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.369144
5741,0.001432,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.426611,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.425179
5760,0.002175,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.355255,G3_biodiversity_interactions,How different components of biodiversity interact,0.353079
5762,0.076769,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.437156,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.360387
5763,0.06144,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.447565,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.386125
5764,0.021778,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.443469,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.421691
5765,0.065272,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.448437,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.383165
5780,0.079985,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.657968,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.577983
5781,0.00618,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.494652,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.488472
5800,0.003187,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.538423,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.535236
5801,0.050709,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.511633,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.460924
5804,0.000726,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.519639,G3_biodiversity_interactions,How different components of biodiversity interact,0.518914
5840,0.058513,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.481211,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.422698
5861,0.008383,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.542095,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.533712
5900,0.017651,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.405365,G3_biodiversity_interactions,How different components of biodiversity interact,0.387713
5901,0.001907,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.41676,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.414852
5920,0.039434,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.405574,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.366139
5921,0.016373,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.376876,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.360502
5922,0.011378,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.501772,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.490394
5940,0.022373,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.415871,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.393497
5960,0.022745,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.414628,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.391883
6000,0.011417,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.375276,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.363858
6001,0.001595,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.378081,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.376486
6040,0.014723,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.516869,G3_biodiversity_interactions,How different components of biodiversity interact,0.502146
6060,0.005689,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.500636,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.494947
6080,0.010571,2,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.347538,G3_biodiversity_interactions,How different components of biodiversity interact,0.336967
6082,0.004493,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.425493,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.421
6123,0.033669,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.518792,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.485123
6124,0.037836,2,G3_biodiversity_interactions,How different components of biodiversity interact,0.526071,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.488235
6160,0.072121,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.651602,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.579481
6222,0.018639,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.484408,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.465769
6223,0.019559,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.449681,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.430123
6224,0.036497,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.535388,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.498892
6225,0.007361,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.45266,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.445299
6226,0.031055,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.514648,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.483592
6227,0.014799,2,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.472052,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.457252
6240,0.01441,2,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.466662,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.452251
