anchor_id,anchor_label,n_docs,top_terms
MACROFAUNA,MACROFAUNA,7,macrofauna; bacterial; recovery; core; meso macrofauna; mesofauna; meso; soil; use intensity; land use intensity; microbiome; earthworms
LAND SURFACE FEEDBACKS,LAND SURFACE FEEDBACKS,7,herbivory; aboveground; feedback; process rates; outcome; process; climatic; plant performance; land-use; feedbacks; natural; land-use intensity
MICROCLIMATE,MICROCLIMATE,7,microbial; biogeography; soil microorganisms; bodenmikroorganismen; soil; microbial communities; microorganisms; soil microbial; verteilung; properties; regional; mesic
DROUGHT,DROUGHT,7,drought; drought resistance; survival; growth; resistance; temperate grassland species; grassland species; hydrological; buchen; temperate grassland; performance; garden
BIOLOGICAL HAZARDS MAPPING,BIOLOGICAL HAZARDS MAPPING,7,vectors; health; prevalence; ticks; vector; pathogen; livestock; parasites; resistance; infections; potential; old
CANOPY TRANSMITTANCE,CANOPY TRANSMITTANCE,7,canopy; image; simulated; camera; optischen; auflösung; optical; threshold; exposure; alternative; fox; methode
LAND USE CLASSES,LAND USE CLASSES,6,information; abstract information; updated; hai abstract; land use; fieldwork; land; farmers; use; observations; members; species responses
SPECIES COMPETITION,SPECIES COMPETITION,6,competition; competitive; growth; interspecific; bumblebees; will; bumblebee; traits; pollination; pollinators; wild; interactions
WATER MANAGEMENT,WATER MANAGEMENT,6,leaching; management; nitrogen; grazing; risk; nutrient; vegetation composition; cycling; intensity; mowing; agricultural; management intensity
SPECIES DISTRIBUTION,SPECIES DISTRIBUTION,6,bees; myriapoda; beech stands; genetic variation; wild; across three; literature; genetic; three exploratories; stands; sch; traits
FERNS AND ALLIES,FERNS AND ALLIES,6,epichloe; amf; assemblages; endophyte; fungal; region land use; region land; infection; modify; perenne; perennial; dependence
CROP DENSITY,CROP DENSITY,6,density; land-use intensity experiment; bank; plots hainich; intensity experiment; land-use; diversity; assess; seed; grassland eps; diversity title; land-use intensity
GRASSLANDS,GRASSLANDS,6,species identities; vegetation records grassland; identities; eps header; eps header without; header without species; header without; without species; records grassland; vegetation; repeated; title vegetation records
POLYUNSATURATED FATTY ACID,POLYUNSATURATED FATTY ACID,6,fatty; profiles; prey; fatty acid; food webs; webs; food; acid; fatty acids; soil food; arten; acids
FOREST YIELDS,FOREST YIELDS,6,tree; forest; holes; resource availability; directly indirectly; different aspects; indirectly via; investigated different; inventory; diversity composition; forest stand; abstract investigated
GELBSTOFF,GELBSTOFF,6,dom; throughfall; stemflow; doc; organic matter; organic; matter; throughfall stemflow; coniferous; dissolved; leachate; dissolved organic
AMMONIUM AEROSOLS,AMMONIUM AEROSOLS,5,deposition; deadwood; soil solution; ammonium; solution; simulated; nine; microbial; archaea; forest ecosystems; concentrations soil; fungal communities
VEGETATION TEMPERATURE,VEGETATION TEMPERATURE,5,variation; temperature; light; width; soil temperature; epichloë; drought; humidity; traits; alkaloids; leaf; grass
TRANSCRIPTOMIC ANALYSIS,TRANSCRIPTOMIC ANALYSIS,5,pratense; growth; expression; cutting; mechanismen; phenotypic; analysen; contigs; involved; molecular; protein; veränderungen
PLANT DISEASES/DISORDERS/PESTS,PLANT DISEASES/DISORDERS/PESTS,5,pathogens; prevalence; disturbance; relation land use; relation land; use type intensity; disturbance experiment; fungal; land use type; use type; counting; experiment
FOREST CONSERVATION,FOREST CONSERVATION,5,management; nature; forests; tree; tree species; wälder; forest management; forest; biodiversity; values; conservation; vielfalt
FOREST SCIENCE,FOREST SCIENCE,5,names; categories; history; percentage; soil title; table; fungal; studying; forest soil; sequencing; tree species; belonging
NITROGEN,NITROGEN,5,bags; nitrate; resin; nitrogen content; concentrations soil; material; bag; caught; contact; concentration; incubated; filled
SOIL MOISTURE/WATER CONTENT,SOIL MOISTURE/WATER CONTENT,5,soil water; water; water content; soil; content; core project soil; project soil; contents; core project; content soil; core; project
SOIL ORGANIC CARBON (SOC),SOIL ORGANIC CARBON (SOC),5,turnover; soil; carbon; som; organic; organic carbon; fraction; soil organic; storage; stocks; fractions; forest grassland
SUB-BOTTOM PROFILE,SUB-BOTTOM PROFILE,5,subplot; belongdead; photos; visible; subplots; title belongdead; every; logs; insert; libraries; may july; possible
SOIL COLOR,SOIL COLOR,5,som; transform; soil; abstract soil; gehalt; flowering; zusammensetzung; geographic; flower; soil organic; böden; plant communities
ANIMAL ECOLOGY AND BEHAVIOR,ANIMAL ECOLOGY AND BEHAVIOR,5,activity; alb hai sch; abstract assessment; hai sch; alb hai; summer; assessment; hai; sch; monitoring; experimental plots; experimental
ANGIOSPERMS (FLOWERING PLANTS),ANGIOSPERMS (FLOWERING PLANTS),5,amf; plantago; root; agriotes; lanceolata; plantago lanceolata; colonization; herbivore; grassland plant; erhöhte; einfluss; grasses
AMPLICON SEQUENCING,AMPLICON SEQUENCING,5,amplicon; asvs; variants; sequencing; interaction networks; networks; prokaryotes; primer; sequence; indices; rrna gene; wood
HYDROGEN OXIDE PROFILES,HYDROGEN OXIDE PROFILES,5,plots samples; organic layers; horizons; taken coordinated; samples taken coordinated; taken coordinated sampling; coordinated sampling; abstract determination; minsoil; title minsoil; coordinated; organic
LAKE LEVELS,LAKE LEVELS,5,lichen; richness; archaea; species richness; soil moisture; pastures; flechten; moisture; species; species higher; forest soils; plant species
HETEROTROPHIC RESPIRATION (Rh),HETEROTROPHIC RESPIRATION (Rh),5,respiration; soil respiration; nitrogen; mosses; soil; deadwood; diazotrophs; nitrogen fixation; metabolic; fixation; co2; project
RNA,RNA,5,ranunculus; rrna; rhizosphere; rrna gene; trifolium pratense; pratense; bacterial; gene; trifolium; stored; high-throughput sequencing; region
SHORELINE MAPPING,SHORELINE MAPPING,5,mapping; maps; office; areas; historical; zones; acquired; hainich; hainich abstract; file state environmental; environmental office brandenburg; environmental office
VEGETATION HEIGHT,VEGETATION HEIGHT,5,species identities; identities; height; title vegetation records; title vegetation; eps header; two subplots; vegetation records grassland; eps header without; without species; header without species; header without
FOREST PRODUCTS/COMMODITIES,FOREST PRODUCTS/COMMODITIES,5,index; landnutzung; robust; forest; forests; timber; forest inventory; reference; inventory; compound index; baumartenzusammensetzung; quantifizierung
LIDAR WAVEFORM,LIDAR WAVEFORM,4,lidar; point clouds; clouds; point; laser; canopy cover; laser scanning; scanning; subplot; canopy; ground; unmanned aerial
GREEN ALGAE,GREEN ALGAE,4,green; algal; molecular; algae; cultures; green algae; otus; soils; green algal; terrestrial; sequences; tree bark
PERMAFROST/METHANE RELEASE,PERMAFROST/METHANE RELEASE,4,phosphate; release; stickstoff; situ; dissolved; methylotrophs; net; böden; fluxes; soils; organic layers; kinetics
LIZARDS/SNAKES,LIZARDS/SNAKES,4,lichen; schnecken; lichens; snails; flechtenarten; feeding; frequency; frequent; snail; list; defense; species
MARSH,MARSH,4,coarse woody debris; coarse woody; woody debris; debris; coarse; mahd; woody; plant species diversity; grazed; artenzahl; forest inventory; beweidung
AMPLICON SEQUENCE VARIANT (ASV),AMPLICON SEQUENCE VARIANT (ASV),4,bark; asv; asvs; read; algal; numbers; sample; inference; microbiome; package; metabarcoding; bacterial
FOREST FIRE DANGER INDEX,FOREST FIRE DANGER INDEX,4,index; formi; management; management intensity; forest management intensity; forest management; intensity; disturbance; dead wood; dead; wäldern; forest
INSECTS,INSECTS,4,thistles; invertebrates; agricultural used; moth; prominent; belong; feed; group; status; damage; dendrometer; herbivores
QUANTITATIVE POLYMERASE CHAIN REACTION (qPCR),QUANTITATIVE POLYMERASE CHAIN REACTION (qPCR),4,genes; resistance; quantification; pcr; abundance; quantitative; real; title abundance; mobile; threshold; techniques; absolute
BLOCKING INDEX,BLOCKING INDEX,4,signifikant; stand; september; year; grassland site; höhe; significantly; jahres; european beech; gap; calculated; vertical
SPECIES MIGRATION,SPECIES MIGRATION,4,samen; schnecken; seeds; gastropods; ants; seed; dispersers; slugs; beech forests; might; beech; könnten
SOIL CLASSIFICATION,SOIL CLASSIFICATION,4,grid plots; grid; soil; classification; title soil; taxonomic; mineral soils; jena; soil sample; abstract used; abstract file; soil types
CHLOROPHYLL CONCENTRATION,CHLOROPHYLL CONCENTRATION,4,fluxes; nutzungsintensität; biodiversität; region; concentrations; biocrusts; element; einfluss; intensity biodiversity; intensity; biodiversity; mitteleuropäischen
SOIL PRODUCTIVITY,SOIL PRODUCTIVITY,4,aggregation; seeding; productivity; root herbivory; biotic abiotic factors; root; soil; abiotic factors; herbivory; resilience; plant community; biotic abiotic
CATTLE/SHEEP,CATTLE/SHEEP,4,wild; rodents; mammals; cases; europe; small mammals; scarabaeoidea; bats; site; exposure; lichens; compiled
SOIL HORIZONS/PROFILE,SOIL HORIZONS/PROFILE,4,amf; profile; basic; description; soil; bedry; title bedry; title functional; abstract screening; soil type; screening; abstract file
CLOUD-SCREENED TOTAL COLUMN NITROGEN DIOXIDE (NO2),CLOUD-SCREENED TOTAL COLUMN NITROGEN DIOXIDE (NO2),4,carbon nitrogen; nitrogen; carbon; soil; crust-free soil; crust-free; abstract determination; total nitrogen; bulk density; crust; soil sampling; concentrations
BIRDS,BIRDS,4,bird; birds; food; preferences; aktivität; winter; morphological traits; count; weather; ecological; activity; traits
GLYOXAL,GLYOXAL,4,epichloë; alkaloid; endophytes; grass; alkaloids; intoxication; toxic; epichloë endophytes; concentrations; grass species; intoxication risks; perenne
BIBLIOGRAPHIC DATABASES,BIBLIOGRAPHIC DATABASES,4,bexis; daten; hilfe; möglichst; insert; automatisch; libraries; projekt; ausgewertet; waldinventur; welches; zukünftige
BIN/BINNING,BIN/BINNING,4,reads; sequencing; assembled; beech; coverage; illumina sequencing; fungal; external; activity; samples; litter; link
ISOTOPES,ISOTOPES,4,instead; ermittelt; standard; funktion; proben; über; iii; erster; fand; messungen; ende; erstellung
DEFLATION,DEFLATION,4,process rates; dung; rates; whether; mediated; arthropod; process; seed; medium-term; title arthropod; affected climate; iii whether
DECOMPOSITION,DECOMPOSITION,4,litter; decomposition; chemical composition; chemical; activity; composition; decomposition process; process; leaves; fungal; dung; chemistry
BACKGROUND INFORMATION,BACKGROUND INFORMATION,3,später; informationen; bexis; weiteren; daten; pilze; plant communities; plant biomass; plant; placed; place; plants title
DATA ANALYSIS,DATA ANALYSIS,3,daten; service; datensätze; integration; statistical; functionality; tools; besteht; verwendung; platform; statistics; configuration
CUMULUS HUMILIS,CUMULUS HUMILIS,3,activity; common; thüringen; thuringia; coleoptera; records; vegetation height; thüringer; überblick; across species; lux; reduced
SLIME MOLDS,SLIME MOLDS,3,genome; pilz; draft genome; draft; genom; contigs; pathogen; title draft genome; draft genome sequence; title draft; genome sequence; holz
RANGE CHANGES,RANGE CHANGES,3,movement; distances; heterogeneous; ranges; forest; stands; ranging; attributes; patterns; daily; hierarchical; production
SOLAR INDUCED FLUORESCENCE,SOLAR INDUCED FLUORESCENCE,3,rhizosphere; phytometers; phytometer; abstract based; transplanted; table abstract; counts; read; forb; chosen; grown; technique
DROUGHT/PRECIPITATION RECONSTRUCTION,DROUGHT/PRECIPITATION RECONSTRUCTION,3,instead; hydrological; sew6; dgl055; ei090; ah020; hew42; regeneration; drought; belongdead; direct; soil samples
DECISION TREE,DECISION TREE,3,overview; fieldwork; table; discussion; phases; assembly; containing; previous; better; context; year; group
CENTIPEDES,CENTIPEDES,3,instead; deadwood; gap; gaps; ei090; hew42; sew6; dgl055; ah020; formation; arthropod; belongdead
VOLATILE ORGANIC COMPOUNDS,VOLATILE ORGANIC COMPOUNDS,3,dung; compounds; beetles; dung beetles; beetle; organic compounds; synthetic; vertebrate; cadavers; six; resources; components
CLIMATE INDICATORS,CLIMATE INDICATORS,3,climate; wind; interface; web; monitoring; time series; series; http www; http; base; org; aggregated
SPECIES/POPULATION INTERACTIONS,SPECIES/POPULATION INTERACTIONS,3,interaktionen; interactions; gramm; bodenbakterien; pro; organismen; bakterien; interaction; organisms; parameters; boden; management affects
TOTAL ELECTRON CONTENT,TOTAL ELECTRON CONTENT,3,extractable; soil; total nitrogen; total; organic carbon; organic; soil samples; soil sampling campaign; soil sampling; sampling campaign; represent; campaign
WILDLAND FUELS,WILDLAND FUELS,3,aromatic; lignin; dead wood; date; dead; variability; wood; vip; deadwood; sommer; abstract waldinventur; cwd
MARSHES,MARSHES,3,pastures; grazed; bryophytes; wiesen; times; dactylis glomerata; glomerata; weiden; dactylis; mesic; meadows mown pastures; meadows mown
VEGETATION FRACTION,VEGETATION FRACTION,3,root-associated; organic layer; objective; layer; vegetation; mineral; scales; soil fungi; abstract vegetation; mineral topsoil; root herbivores; recording
KP INDEX,KP INDEX,3,indices; experiment fox; shapes; contain; fox; made; three exploratories; fox abstract; hanich-dün; university; aufgenommen; schorfheide
LAND SURFACE/AGRICULTURE INDICATORS,LAND SURFACE/AGRICULTURE INDICATORS,3,cost; pflanzen; auftreten; indikatoren; reference; pflanzenarten; measures; monaten; calculations; regionaler; einfluss; indikator
USE/FEEDING HABITATS,USE/FEEDING HABITATS,3,damage; habitat; pine; trees; feeding; deciduous; cover; large; age-class; food; forests; mature
MINING/DRILLING SITE,MINING/DRILLING SITE,3,land cover; cover; land; title beech exclusion; beech exclusion; title beech; extraction; exploratories title; bestimmung; exclusion; bodens; exploratories
NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),3,lui; index; lui index; database; landnutzung; intensity; land-use; reference; grünland; grazing; http; http www
EUTROPHICATION,EUTROPHICATION,3,nitrification; sampling campaign ssc; campaign ssc; ssc; hainich-dün schorfheide; hainich-dün schorfheide chorin; chorin; schorfheide chorin; soil sampling campaign; soil sampling; sampling campaign; campaign
FRACTION OF ABSORBED PHOTOSYNTHETICALLY ACTIVE RADIATION (FAPAR),FRACTION OF ABSORBED PHOTOSYNTHETICALLY ACTIVE RADIATION (FAPAR),3,phytometer; planted; millefolium; achillea millefolium; achillea; pratensis; plants; glomerata; dactylis glomerata; dactylis; purchased; plants grassland
DENITRIFICATION RATE,DENITRIFICATION RATE,3,nitrate; denitrification; nitrification; upon; dynamics; water contents; contents; addition; oxide; different; investigated different; oxygen
GAS HYDRATES VERTICAL/GEOGRAPHIC DISTRIBUTION,GAS HYDRATES VERTICAL/GEOGRAPHIC DISTRIBUTION,3,heg; grassland vips; scalemic abstract; will; spatial distribution; plots different; bacterial; soil bacteria; hainich; intermediate; vips; grassland
PIGMENTS,PIGMENTS,3,flower; pollinators; bienen; pollination; background; colour; habitats; vielfalt; floral; networks; insekten; pflanzenarten
FOREST PLANTATION,FOREST PLANTATION,3,title fertilization experiment; surrounding vegetation; fertilization experiment; title fertilization; structure diversity; vegetation structure; vegetation; mapping; matrix; investigation; plantago lanceolata; plantago
PALMER DROUGHT CROP MOISTURE INDEX,PALMER DROUGHT CROP MOISTURE INDEX,3,drought; survival; mowing intensity; mowing; grassland species; drought resistance; index; perennial; herbaceous; species; woody; resistance
NUTRIENT CYCLING,NUTRIENT CYCLING,3,water; nutrient; mineralization; precipitation; cycle; soil; vips; abstract aims; rainfall; soil processes; greenhouse gas; water nutrient
ISOTOPE MEASUREMENTS,ISOTOPE MEASUREMENTS,3,instead; isotopes; sew6; ah020; dgl055; ei090; hew42; belongdead; stable; measured; institute; sew6 es017 instead
COMPOSITION/TEXTURE,COMPOSITION/TEXTURE,2,texture; soil title soil; samples vip plots; samples vip; abstract screening; soil texture; screening; vip plots abstract; soil title; vip plots; mixed; vip
BEDROCK LITHOLOGY,BEDROCK LITHOLOGY,2,belongdead; time period; photos; may july; log; every; title belongdead; july; logs; period; hai abstract; sch abstract
AE INDEX,AE INDEX,2,leaf area; forest eps; index; leaf; title leaf; sch alb; alb title; satellite; hai sch; area; scanning; airborne
APICULTURE,APICULTURE,2,colonies; bumblebee; placed; competitive; bee; bumblebees; bees; pollination; wild; services; investigate land; investigate land use
ATMOSPHERE/SURFACE INTERACTIONS,ATMOSPHERE/SURFACE INTERACTIONS,2,variety factors; investigate land use; investigate land; abstract ecosystem; affected variety factors; agricultural used; affected variety; insectscale; title insectscale; conducted investigate; variety; landscapes
ABYSSAL HILLS/PLAINS,ABYSSAL HILLS/PLAINS,2,insert; sch alb; libraries; aerial; earth; overview; sch; topsoil subsoil; large; constructed; grassland vips abstract; hainich
BALEEN WHALES,BALEEN WHALES,2,vertebrates; flechten; schnecken; seed; dispersers; ants; gastropods; wichtige; nutzung; dispersal; während; holes
CAVE DEPOSITS,CAVE DEPOSITS,2,instead; belongdead; see belongdead; sew6; hew42; ei090; ah020; dgl055; stem; see; soil samples; soil sample
CRYPTOMONADS,CRYPTOMONADS,2,strains; trifolium repens; repens; isolated; bscs; strain; trifolium; nov; genetic diversity; verbreitet; genetic; vorkommen
CILIATES,CILIATES,2,strain; c16; nov; novel; family; novel species; feature; genus; acids; isolated; c18; gen nov
TORNADO PATH WIDTH,TORNADO PATH WIDTH,2,distance; ways; script; every; classification; spatial scales; next; multiple; scales; secondary; habitat; spatial
CONTOUR MAPS,CONTOUR MAPS,2,maps; closed; gps; files; coordinates; vips; open; eps; colour; implementation; white; grid plots
BIOMASS,BIOMASS,2,biomass grassland; biomass; measurement; grassland eps abstract; two subplots; per; per plot; above-ground; grassland eps; eps abstract; subplot; subplots
COORDINATE REFERENCE SYSTEM,COORDINATE REFERENCE SYSTEM,2,coordinates; stations; format; grid; overview; provided; inventory; meteorological; gps; automatically; abstract provides; grid plots
BIOSPHERIC INDICATORS,BIOSPHERIC INDICATORS,2,biosphere; reserve; http; http www; zone; www; detail; brandenburg; area; title schorfheide; march; zones
STATION HEIGHT,STATION HEIGHT,2,base; stations; title dendrometer; dendrometer; pilzen; plant community; plant communities; plant biomass; plant; placed; place; plants title
CRANES AND ALLIES,CRANES AND ALLIES,2,seeds; slugs; samen; seed; schnecken; ants; dispersal; rodents; consumption; consumed; fressen; kot
CORAL DEPOSITS,CORAL DEPOSITS,2,beetle; strains; coleoptera; cadavers; variation; isolates; genus; zusammensetzung; temperature; bscs; member; piglet
