id,goal1_id,goal1_label,goal1_score
5780,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.657968
5781,G3_biodiversity_interactions,How different components of biodiversity interact,0.494652
5800,G3_biodiversity_interactions,How different components of biodiversity interact,0.538423
5801,G3_biodiversity_interactions,How different components of biodiversity interact,0.511633
5804,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.519639
5840,,,0.0
5861,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.542095
5900,,,0.0
5901,,,0.0
5920,,,0.0
5921,,,0.0
5922,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.501772
5940,,,0.0
5960,,,0.0
6000,,,0.0
6001,,,0.0
6040,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.516869
6060,G3_biodiversity_interactions,How different components of biodiversity interact,0.500636
6080,,,0.0
6082,,,0.0
6123,G3_biodiversity_interactions,How different components of biodiversity interact,0.518792
6124,G3_biodiversity_interactions,How different components of biodiversity interact,0.526071
6160,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.651602
6222,,,0.0
6223,,,0.0
6224,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.535388
6225,,,0.0
6226,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.514648
6227,,,0.0
6240,,,0.0
6241,,,0.0
6280,,,0.0
6300,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.603836
6302,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.637809
6303,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.645298
6304,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.634105
6305,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.632508
6306,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.639803
6320,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.497796
6340,G3_biodiversity_interactions,How different components of biodiversity interact,0.499592
6360,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.587328
6362,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.526479
6363,,,0.0
6380,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.521907
6381,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.524957
6400,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.652995
6440,,,0.0
6460,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.51947
6461,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.496127
6482,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.596573
6500,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.532488
6540,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.573516
6541,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.576093
6542,,,0.0
6543,,,0.0
6560,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.537604
6601,G3_biodiversity_interactions,How different components of biodiversity interact,0.49645
6640,,,0.0
6660,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.496618
6661,,,0.0
6662,,,0.0
6664,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.522897
10008,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.492121
10021,,,0.0
10022,,,0.0
10023,,,0.0
10042,,,0.0
10120,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.602513
10160,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.613117
10202,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.513949
10204,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.587009
10220,,,0.0
10280,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.492023
10282,,,0.0
10300,,,0.0
10301,,,0.0
10320,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.556156
10321,,,0.0
10322,G3_biodiversity_interactions,How different components of biodiversity interact,0.604421
10341,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.58962
10403,,,0.0
10440,,,0.0
10441,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.512504
10461,G3_biodiversity_interactions,How different components of biodiversity interact,0.508242
10462,,,0.0
10464,G3_biodiversity_interactions,How different components of biodiversity interact,0.587767
10480,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.719835
10500,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.588405
10540,G3_biodiversity_interactions,How different components of biodiversity interact,0.589345
10560,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.49533
10561,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.508344
10563,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.507916
10564,,,0.0
10570,,,0.0
10571,,,0.0
10574,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.655438
10575,,,0.0
10576,,,0.0
10600,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.569838
10602,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.559649
10622,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.68689
10641,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.579041
10661,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.566168
10662,,,0.0
10663,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.560081
10680,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.633376
10701,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.544786
10702,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.511298
10703,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.551661
10704,G3_biodiversity_interactions,How different components of biodiversity interact,0.522153
10720,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.515588
10721,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.522358
10741,G3_biodiversity_interactions,How different components of biodiversity interact,0.49891
10760,G3_biodiversity_interactions,How different components of biodiversity interact,0.594499
10821,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.55314
10840,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.647232
10860,,,0.0
10901,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.550921
10940,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.589323
10960,G3_biodiversity_interactions,How different components of biodiversity interact,0.612684
11040,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.582976
11041,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.562886
11043,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.564639
11060,,,0.0
11101,,,0.0
11163,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.544202
11221,G3_biodiversity_interactions,How different components of biodiversity interact,0.575487
11300,G3_biodiversity_interactions,How different components of biodiversity interact,0.502993
11320,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.580115
11323,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.570882
11360,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.539612
11361,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.55229
11440,G3_biodiversity_interactions,How different components of biodiversity interact,0.558493
11480,,,0.0
11500,,,0.0
11501,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.544983
11502,,,0.0
11503,,,0.0
11504,,,0.0
11506,,,0.0
11507,,,0.0
11520,,,0.0
11521,,,0.0
11540,,,0.0
11541,,,0.0
11560,,,0.0
11603,,,0.0
11660,G3_biodiversity_interactions,How different components of biodiversity interact,0.524564
11681,G3_biodiversity_interactions,How different components of biodiversity interact,0.552578
11700,G3_biodiversity_interactions,How different components of biodiversity interact,0.546783
11740,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.506193
11760,G3_biodiversity_interactions,How different components of biodiversity interact,0.552578
11761,G3_biodiversity_interactions,How different components of biodiversity interact,0.528115
11780,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.601594
11920,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.512759
11921,,,0.0
11941,,,0.0
12000,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.539081
12020,,,0.0
12061,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.554187
12083,G3_biodiversity_interactions,How different components of biodiversity interact,0.51289
12123,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.5972
12140,,,0.0
12161,,,0.0
12200,,,0.0
12203,,,0.0
12204,,,0.0
12205,,,0.0
12220,,,0.0
12221,,,0.0
12222,,,0.0
12223,,,0.0
12224,,,0.0
12225,,,0.0
12226,G3_biodiversity_interactions,How different components of biodiversity interact,0.520639
12266,G3_biodiversity_interactions,How different components of biodiversity interact,0.610243
12286,,,0.0
12287,,,0.0
12326,G3_biodiversity_interactions,How different components of biodiversity interact,0.549368
12366,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.603592
12427,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.575745
12428,,,0.0
12466,G3_biodiversity_interactions,How different components of biodiversity interact,0.541897
12526,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.672241
12566,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.573538
12608,G3_biodiversity_interactions,How different components of biodiversity interact,0.602071
12609,,,0.0
12626,G3_biodiversity_interactions,How different components of biodiversity interact,0.574669
12627,G3_biodiversity_interactions,How different components of biodiversity interact,0.650179
12666,,,0.0
12686,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.630287
12706,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.539045
12766,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.658297
12806,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.645123
12807,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.665847
12808,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.67647
12827,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.644972
12830,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.664267
12866,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.588942
12867,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.593306
12886,,,0.0
12906,G3_biodiversity_interactions,How different components of biodiversity interact,0.525862
12946,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.543202
12966,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.636634
12967,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.713049
13086,G3_biodiversity_interactions,How different components of biodiversity interact,0.556465
13106,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.680383
13126,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.656328
13147,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.554494
13149,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.649872
13166,,,0.0
13226,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.558809
13347,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.637091
13349,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.641762
13350,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.645918
13367,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.540286
13368,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.542549
13370,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.55236
13371,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.542546
13372,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.530374
13386,,,0.0
13406,,,0.0
13426,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.657396
13447,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.534891
13486,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.548899
13506,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.659335
13546,,,0.0
13566,G3_biodiversity_interactions,How different components of biodiversity interact,0.493068
13567,G3_biodiversity_interactions,How different components of biodiversity interact,0.521797
13568,G3_biodiversity_interactions,How different components of biodiversity interact,0.493078
13606,,,0.0
13666,,,0.0
13667,,,0.0
13668,,,0.0
13706,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.642813
13726,,,0.0
13806,,,0.0
13826,,,0.0
13846,G3_biodiversity_interactions,How different components of biodiversity interact,0.546389
13866,,,0.0
13886,G3_biodiversity_interactions,How different components of biodiversity interact,0.548131
13906,,,0.0
13907,,,0.0
13927,,,0.0
13930,,,0.0
13986,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.658385
13987,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.542985
13989,,,0.0
14012,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.644496
14015,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.505942
14016,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.544501
14018,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.560087
14106,G3_biodiversity_interactions,How different components of biodiversity interact,0.561886
14127,G3_biodiversity_interactions,How different components of biodiversity interact,0.509486
14146,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.536589
14148,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.51634
14187,,,0.0
14246,G3_biodiversity_interactions,How different components of biodiversity interact,0.558103
14306,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.634897
14326,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.530636
14346,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.530022
14406,,,0.0
14410,,,0.0
14426,G3_biodiversity_interactions,How different components of biodiversity interact,0.569108
14446,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.572953
14447,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.587747
14448,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.527801
14506,,,0.0
14526,,,0.0
14567,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.508589
14586,G3_biodiversity_interactions,How different components of biodiversity interact,0.601853
14606,G3_biodiversity_interactions,How different components of biodiversity interact,0.542956
14646,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.681572
14666,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.496164
14667,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.56946
14668,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.58012
14686,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.618001
14706,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.529117
14726,G3_biodiversity_interactions,How different components of biodiversity interact,0.506784
14786,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.491739
14787,G4_biodiversity_to_services,How biodiversity influences ecosystem processes & services,0.501326
14846,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.578714
14866,,,0.0
14886,,,0.0
14906,,,0.0
14946,,,0.0
14966,,,0.0
14986,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.537817
15026,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.623251
15086,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.604675
15126,,,0.0
15146,,,0.0
15166,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.513779
15206,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.698735
15226,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.506353
15246,G3_biodiversity_interactions,How different components of biodiversity interact,0.514967
15306,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.502456
15307,,,0.0
15326,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.523733
15386,,,0.0
15426,,,0.0
15467,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.538714
15486,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.615449
15506,,,0.0
15507,,,0.0
15508,,,0.0
15509,G3_biodiversity_interactions,How different components of biodiversity interact,0.502403
15526,G3_biodiversity_interactions,How different components of biodiversity interact,0.533673
15527,G3_biodiversity_interactions,How different components of biodiversity interact,0.531152
15528,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.523516
15546,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.588329
15547,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.53394
15566,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.639258
15588,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.537612
15606,,,0.0
15626,,,0.0
15627,,,0.0
15646,G3_biodiversity_interactions,How different components of biodiversity interact,0.592434
15687,G3_biodiversity_interactions,How different components of biodiversity interact,0.536019
15688,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.549463
15706,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.55179
15707,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.702625
15743,G3_biodiversity_interactions,How different components of biodiversity interact,0.53518
15746,,,0.0
15747,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.657163
15748,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.647864
15749,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.643118
15766,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.494285
15767,G3_biodiversity_interactions,How different components of biodiversity interact,0.573135
15768,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.617196
15830,G3_biodiversity_interactions,How different components of biodiversity interact,0.559144
15831,G3_biodiversity_interactions,How different components of biodiversity interact,0.607004
15846,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.552533
15866,,,0.0
15869,G3_biodiversity_interactions,How different components of biodiversity interact,0.554142
15871,G3_biodiversity_interactions,How different components of biodiversity interact,0.602507
15886,G3_biodiversity_interactions,How different components of biodiversity interact,0.565328
15887,,,0.0
15906,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.516079
15907,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.581179
15908,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.570691
15929,G3_biodiversity_interactions,How different components of biodiversity interact,0.535371
15946,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.566681
15966,G3_biodiversity_interactions,How different components of biodiversity interact,0.541252
15968,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.569526
15969,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.569179
15987,G3_biodiversity_interactions,How different components of biodiversity interact,0.537622
16006,G3_biodiversity_interactions,How different components of biodiversity interact,0.574532
16046,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.559125
16067,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.548936
16068,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.547023
16086,G3_biodiversity_interactions,How different components of biodiversity interact,0.563184
16087,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.5649
16088,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.563816
16106,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.68802
16126,,,0.0
16146,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.655925
16166,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.665076
16167,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.661951
16186,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.673524
16187,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.675561
16209,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.513315
16226,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.680323
16227,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.671298
16268,G3_biodiversity_interactions,How different components of biodiversity interact,0.525821
16286,G3_biodiversity_interactions,How different components of biodiversity interact,0.546292
16326,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.499246
16327,G3_biodiversity_interactions,How different components of biodiversity interact,0.585783
16386,,,0.0
16388,,,0.0
16389,,,0.0
16390,,,0.0
16426,,,0.0
16427,,,0.0
16428,,,0.0
16429,,,0.0
16466,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.550683
16506,,,0.0
16546,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.608051
16566,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.664705
16586,G2_ecosystem_process_vs_land_use,How land-use form & intensity affect ecosystem processes,0.625178
16606,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.660438
16607,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.642376
16608,G1_biodiversity_vs_land_use,How land-use form & intensity affect biodiversity,0.68162
16646,G3_biodiversity_interactions,How different components of biodiversity interact,0.580167
